"id","day","wd","minute10","W"
965,7,2,101,568.5
966,7,2,102,602
967,7,2,103,641.5
968,7,2,104,663.5
969,7,2,105,663.5
970,7,2,106,628
971,7,2,107,642.5
972,7,2,108,672
973,7,2,109,662
974,7,2,110,697.5
975,7,2,111,716.5
976,7,2,112,696
977,7,2,113,719
978,7,2,114,719.5
979,7,2,115,673.5
980,7,2,116,677
981,7,2,117,661
982,7,2,118,660
983,7,2,119,661
984,7,2,120,684.5
985,7,2,121,662.5
986,7,2,122,656.5
987,7,2,123,630
988,7,2,124,618
989,7,2,125,643.5
990,7,2,126,632
991,7,2,127,594
992,7,2,128,619
993,7,2,129,609.5
994,7,2,130,575
995,7,2,131,568.5
996,7,2,132,555.5
997,7,2,133,545.5
998,7,2,134,525.5
999,7,2,135,505
1000,7,2,136,474
1001,7,2,137,478
1002,7,2,138,460
1003,7,2,139,440.5
1004,7,2,140,405
1005,7,2,141,382.5
1006,7,2,142,377.5
1007,7,2,143,364.5
1008,7,2,144,344.5
1009,8,3,1,330.5
1010,8,3,2,305.5
1011,8,3,3,296.5
1012,8,3,4,284
1013,8,3,5,270.5
1014,8,3,6,257.5
1015,8,3,7,244
1016,8,3,8,239
1017,8,3,9,235
1018,8,3,10,231.5
1019,8,3,11,234.5
1020,8,3,12,224
1021,8,3,13,216
1022,8,3,14,198
1023,8,3,15,192.5
1024,8,3,16,193
1025,8,3,17,199
1026,8,3,18,196.5
1027,8,3,19,191.5
1028,8,3,20,185
1029,8,3,21,179.5
1030,8,3,22,183
1031,8,3,23,180.5
1032,8,3,24,182
1033,8,3,25,175.5
1034,8,3,26,173.5
1035,8,3,27,176
1036,8,3,28,179
1037,8,3,29,179
1038,8,3,30,174.5
1039,8,3,31,180
1040,8,3,32,175
1041,8,3,33,184.5
1042,8,3,34,177.5
1043,8,3,35,180
1044,8,3,36,185
1045,8,3,37,197
1046,8,3,38,204
1047,8,3,39,208
1048,8,3,40,209.5
1049,8,3,41,235.5
1050,8,3,42,248.5
1051,8,3,43,278.5
1052,8,3,44,311
1053,8,3,45,332
1054,8,3,46,354
1055,8,3,47,377.5
1056,8,3,48,411.5
1057,8,3,49,399
1058,8,3,50,415
1059,8,3,51,418
1060,8,3,52,402
1061,8,3,53,383.5
1062,8,3,54,373
1063,8,3,55,391.5
1064,8,3,56,413.5
1065,8,3,57,406.5
1066,8,3,58,368
1067,8,3,59,353.5
1068,8,3,60,367.5
1069,8,3,61,380
1070,8,3,62,372.5
1071,8,3,63,350.5
1072,8,3,64,329
1073,8,3,65,328.5
1074,8,3,66,321.5
1075,8,3,67,327
1076,8,3,68,346.5
1077,8,3,69,336.5
1078,8,3,70,343.5
1079,8,3,71,345.5
1080,8,3,72,332
1081,8,3,73,345
1082,8,3,74,368
1083,8,3,75,347
1084,8,3,76,369
1085,8,3,77,344
1086,8,3,78,344.5
1087,8,3,79,335.5
1088,8,3,80,368.5
1089,8,3,81,376
1090,8,3,82,380.5
1091,8,3,83,387.5
1092,8,3,84,376
1093,8,3,85,349
1094,8,3,86,352
1095,8,3,87,358
1096,8,3,88,350.5
1097,8,3,89,371.5
1098,8,3,90,363.5
1099,8,3,91,371
1100,8,3,92,396.5
1101,8,3,93,415.5
1102,8,3,94,433
1103,8,3,95,439
1104,8,3,96,463
1105,8,3,97,478
1106,8,3,98,500.5
1107,8,3,99,519.5
1108,8,3,100,552
1109,8,3,101,568.5
1110,8,3,102,602
1111,8,3,103,641.5
1112,8,3,104,663.5
1113,8,3,105,663.5
1114,8,3,106,628
1115,8,3,107,642.5
1116,8,3,108,672
1117,8,3,109,662
1118,8,3,110,697.5
1119,8,3,111,716.5
1120,8,3,112,696
1121,8,3,113,719
1122,8,3,114,719.5
1123,8,3,115,673.5
1124,8,3,116,677
1125,8,3,117,661
1126,8,3,118,660
1127,8,3,119,661
1128,8,3,120,684.5
1129,8,3,121,662.5
1130,8,3,122,656.5
1131,8,3,123,630
1132,8,3,124,618
1133,8,3,125,643.5
1134,8,3,126,632
1135,8,3,127,594
1136,8,3,128,619
1137,8,3,129,609.5
1138,8,3,130,575
1139,8,3,131,568.5
1140,8,3,132,555.5
1141,8,3,133,545.5
1142,8,3,134,525.5
1143,8,3,135,505
1144,8,3,136,474
1145,8,3,137,478
1146,8,3,138,460
1147,8,3,139,440.5
1148,8,3,140,405
1149,8,3,141,382.5
1150,8,3,142,377.5
1151,8,3,143,364.5
1152,8,3,144,344.5
1153,9,4,1,330.5
1154,9,4,2,305.5
1155,9,4,3,296.5
1156,9,4,4,284
1157,9,4,5,270.5
1158,9,4,6,257.5
1159,9,4,7,244
1160,9,4,8,239
1161,9,4,9,235
1162,9,4,10,231.5
1163,9,4,11,234.5
1164,9,4,12,224
1165,9,4,13,216
1166,9,4,14,198
1167,9,4,15,192.5
1168,9,4,16,193
1169,9,4,17,199
1170,9,4,18,196.5
1171,9,4,19,191.5
1172,9,4,20,185
1173,9,4,21,179.5
1174,9,4,22,183
1175,9,4,23,180.5
1176,9,4,24,182
1177,9,4,25,175.5
1178,9,4,26,173.5
1179,9,4,27,176
1180,9,4,28,179
1181,9,4,29,179
1182,9,4,30,174.5
1183,9,4,31,180
1184,9,4,32,175
1185,9,4,33,184.5
1186,9,4,34,177.5
1187,9,4,35,180
1188,9,4,36,185
1189,9,4,37,197
1190,9,4,38,204
1191,9,4,39,208
1192,9,4,40,209.5
1193,9,4,41,235.5
1194,9,4,42,248.5
1195,9,4,43,278.5
1196,9,4,44,311
1197,9,4,45,332
1198,9,4,46,354
1199,9,4,47,377.5
1200,9,4,48,411.5
1201,9,4,49,399
1202,9,4,50,415
1203,9,4,51,418
1204,9,4,52,402
1205,9,4,53,383.5
1206,9,4,54,373
1207,9,4,55,391.5
1208,9,4,56,413.5
1209,9,4,57,406.5
1210,9,4,58,368
1211,9,4,59,353.5
1212,9,4,60,367.5
1213,9,4,61,380
1214,9,4,62,372.5
1215,9,4,63,350.5
1216,9,4,64,329
1217,9,4,65,328.5
1218,9,4,66,321.5
